,code,area,year,sex,pop,data_type,x_cv_representative,x_cv_ascertainment
464,110000,Beijing,2007,male,8228705.0,p,0,0
465,110000,Beijing,2008,male,8536879.0,p,0,0
466,110000,Beijing,2009,male,8835023.0,p,0,0
467,110000,Beijing,2010,male,10112920.0,p,0,0
468,110000,Beijing,2011,male,10407002.0,p,0,0
469,110000,Beijing,2012,male,10681009.0,p,0,0
470,110000,Beijing,2013,male,10907000.0,p,0,0
471,110000,Beijing,2014,male,10877350.0,p,0,0
472,110000,Beijing,2015,male,11134000.0,p,0,0
473,110000,Beijing,2016,male,11127877.0,p,0,0
474,110000,Beijing,2017,male,11073999.0,p,0,0
475,110000,Beijing,2018,male,11140335.55,p,0,0
476,120000,Tianjin,2005,male,5235922.0,p,0,0
477,120000,Tianjin,2006,male,5456313.0,p,0,0
478,120000,Tianjin,2007,male,5656382.0,p,0,0
479,120000,Tianjin,2008,male,5962822.0,p,0,0
480,120000,Tianjin,2009,male,6224190.0,p,0,0
481,120000,Tianjin,2010,male,6906904.0,p,0,0
482,120000,Tianjin,2011,male,7259205.0,p,0,0
483,120000,Tianjin,2012,male,7570738.0,p,0,0
484,120000,Tianjin,2013,male,7887957.0,p,0,0
485,120000,Tianjin,2014,male,7596774.0,p,0,0
486,120000,Tianjin,2015,male,7826524.0,p,0,0
487,120000,Tianjin,2016,male,8503150.0,p,0,0
488,120000,Tianjin,2017,male,8430997.0,p,0,0
489,120000,Tianjin,2018,male,8728953.45,p,0,0
490,130000,Hebei,2005,male,34411518.0,p,0,0
491,130000,Hebei,2006,male,35032089.0,p,0,0
492,130000,Hebei,2007,male,35248419.0,p,0,0
493,130000,Hebei,2008,male,35469170.0,p,0,0
494,130000,Hebei,2009,male,35688752.0,p,0,0
495,130000,Hebei,2010,male,36430309.0,p,0,0
496,130000,Hebei,2011,male,37425103.0,p,0,0
497,130000,Hebei,2012,male,37668719.0,p,0,0
498,130000,Hebei,2013,male,37990629.0,p,0,0
499,130000,Hebei,2014,male,37803310.0,p,0,0
500,130000,Hebei,2015,male,38310119.0,p,0,0
